,part_idx,participant,mean_accuracy,time_taken,inters_real,int_range,int_length,scenario,accuracy,difficulty
148,30,5ec3b9e83f187802a6aa041e,0.8530853110426988,18.217100000000002,7.0,151.21428571428572,4.378571428571429,finance,0.7802823127989794,2.0
149,31,5eea0a01da0cfc0a744df4d9,0.8374873103564274,30.40095,8.5,88.88235294117646,2.5470588235294116,finance,0.7705842661294382,2.0
150,32,5ef601b056fe3607b3410b33,0.9083857245352185,26.20695,8.25,146.72727272727272,4.406060606060606,finance,0.91695452014626,2.0
151,33,5eff4206a352be49f1aef4cc,0.9149631958974226,27.437683333333332,8.0,151.5625,4.56875,finance,0.8769085090206673,2.0
152,34,5f0559d1bc410b85707c58a3,0.9162785669668814,19.67735,10.0,99.575,3.6199999999999997,finance,1.0,2.0
153,35,5f120176fbc66510873bcbf8,0.7412292406666046,20.531683333333334,9.0,132.08333333333334,3.3,finance,1.0,2.0
154,36,5f1b2fe23bcef80c38d2a362,0.7509240048890291,39.36945,7.5,111.9,3.4199999999999995,finance,1.0,1.0
155,37,5f2448855226b0000a8129e1,0.823333738199675,19.037266666666667,4.75,33.526315789473685,5.126315789473684,finance,0.91695452014626,2.0
156,38,5f2c226f8cea75078acb6377,0.8655929671971307,36.837133333333334,20.5,69.3170731707317,0.6902439024390243,finance,0.886039423540362,1.0
157,39,5f343de4d0c07630b7f90b92,0.7786600947601519,24.431516666666667,8.0,89.46875,4.112500000000001,finance,0.7148670257438995,2.0
158,40,5f3aee04e30eac7cb73b416e,0.7956795361627951,,7.5,42.1,0.7733333333333333,finance,0.8825559560970593,1.0
159,41,5f3e8506cb479c0a96cf4aac,0.7498587963931249,19.266183333333334,6.0,82.375,3.5749999999999997,finance,0.9237507148336976,1.0
160,42,5f466020c3a053038da47399,0.7957836566098542,17.278916666666664,9.75,103.58974358974359,3.1128205128205133,finance,0.6307255270620018,1.0
161,43,5f4e97aae4fe380a7bad99c7,0.8633135319685341,17.230216666666667,10.5,85.45238095238095,3.1380952380952376,finance,0.9221501055838477,1.0
162,44,5f600669b846780f0fe45709,0.8782661415831614,43.91523333333334,10.0,78.5,3.66,finance,1.0,1.0
163,45,5f6b8c1f5622370b0c94d597,0.7659783240030926,24.248949999999997,6.25,115.8,6.367999999999999,finance,0.8130106019983085,2.0
164,46,5f75ce20817166287293b825,0.8698063094107993,21.001216666666668,9.0,93.41666666666667,0.6500000000000001,finance,0.8933996418221948,1.0
165,47,5f761e5106b786071f45b4aa,0.7537807155994625,50.63503333333333,2.5,34.6,0.42000000000000004,finance,0.7087123674982323,2.0
166,48,5f8836a5fb70462a169fc0ac,0.8847021024594008,24.945133333333334,13.0,66.6923076923077,1.3730769230769229,finance,1.0,1.0
167,49,5f97e6601f6d0e016087fc91,0.7132311447848028,16.778566666666666,12.25,84.75510204081633,2.979591836734694,finance,0.5596847140736445,2.0
168,50,5f9aba6600cdf11f1c9b915c,0.7708452810059484,51.048750000000005,1.75,81.28571428571429,3.1714285714285713,finance,1.0,1.0
169,51,5fa107215a15fe19519b484d,0.8227488360111775,16.268116666666668,9.25,67.05405405405405,2.816216216216216,finance,0.886039423540362,2.0
170,52,5fad2378719b9d3a961834c9,0.8828696928040136,21.339083333333335,6.75,71.18518518518519,5.303703703703706,finance,0.9246221638555591,2.0
171,53,5fb26f723d8b23832ff835c6,0.7668335022486896,24.400399999999998,9.0,109.30555555555556,1.8499999999999999,finance,0.6947661521663201,1.0
172,54,5fbbf3f438be4c025df6cdd4,0.8910301554591786,27.5656,5.25,124.42857142857143,6.4190476190476184,finance,0.9199359230974564,1.0
173,55,5fbd9bcc54453f1b0b28d89a,0.7514286761905125,29.536233333333332,3.0,61.333333333333336,0.6000000000000001,finance,0.7327387580875756,2.0
174,56,5fbfa7490dcefd0251d79dff,0.8382658102535104,20.508666666666667,6.5,80.84615384615384,3.876923076923077,finance,0.8817375208021835,2.0
175,57,5fd0c81fc79aef1882cbee94,0.9011680459911076,23.303333333333335,17.5,54.628571428571426,1.5685714285714287,finance,0.9216739550012043,2.0
176,58,5fd8d7e42ce9082dd7998e6d,0.6295957479206136,20.657899999999998,15.75,73.58730158730158,1.2253968253968253,finance,0.5017271208775602,1.0
177,59,5ff4a242cbe069bc27d9278b,0.9026331178225027,20.38791666666667,10.25,104.78048780487805,2.2878048780487807,finance,0.8492443277111181,2.0
178,60,6004c0c7e2b1453733edd35e,0.8210409682702713,18.43338333333333,13.5,55.7962962962963,0.6481481481481481,finance,0.8443002111676954,1.0
179,61,6011a4b308baec1050c17853,0.6524114833081696,23.618283333333334,9.25,75.51351351351352,2.859459459459459,finance,0.5098370268372567,2.0
180,62,60199372bd48490e12a0d92e,0.7371928039055136,26.241183333333332,10.25,104.73170731707317,3.7414634146341457,finance,0.5527864045000421,1.0
181,63,6021d74808e9e926a4ff44c6,0.8053711027956257,21.464433333333332,11.75,95.12765957446808,2.6425531914893616,finance,0.7994261107285615,2.0
182,64,60259da406ab01158d9b9f83,0.8249615182246088,18.035500000000003,10.0,50.0,2.2350000000000003,finance,0.8817375208021835,1.0
